,code,tags,shops,Markdown
0,6538,MasterCard MoneySend Funding Transaction,MONEYMAN; Mob card; MND PAPAZAIM; moneyman; CARD2CARD.frisbee-pay; rencredit.ru; LR*JoyMoney; SBOL_CARD2CARD; LR*bistrodengi.ru; C2C PSB M F; dengisrazy.ru; WU.COM; Fin; P2P.SKBBANK.RU; MKK KVATRO; SAMMIT_AFT_MIR_of; QIWI_4; Card mobile; MIGCREDIT; K-FINANCE P2P; LR*KVIKU.RU; FASTMONEY; YM *dengisrazy.ru; YM *denginadom; finterra; ONECLICKMONEY.RU P2P; P2P MKB-Mobile; LR*web-zaim.ru/2; MOCA; 4SLOVO; zaymer; turbozaim; alfa partner; bcs-bank.com; revo.ru; Pochtabank Card 2 Card; PAYSEND; VIVUS; ATB-Online P2P; POGASHENIE KREDITOV; SAMMIT_AFT_MIR_o; MICROKLAD; ELECS PAYPS; QIWI_8; greenmoney; YM *Fin; PAW*VIVADENGI; LR*Umnye nalichnye; KVIKU_AFT_MIR; MCC MONEZA; bistrodengi.ru; PAW*smartcredit; Tinkoff Bank Card2Card; CBR; CCB CARD2CARD; OTPB; Good money; dozarplati; Vsegdazaem; ekapusta; JOYMONEY; EZAEM; LR*KORONAPAYCREDIT; BelkaCredit; L-FINANCE P2P; ZE; OPEN.RU CARD2CARD; LR*zaim-express.ru; C2C PSB M NF; QIWI_1; GuruCash; LR*www.vostbank.ru; Credit7Online; QIWI_3; LR*SAMMIT_AFT_MC_of; Robocredit; QIWI BANK; Mobilcard; C2C PSB-R F; SOVCOMBANK; fins.money; VTB PJSC; SROCHNODENGI AFT; Tinkoff Card2Card; Pekarnya Don Baton; YooMoney Sadovnicheska; VTB24 CARD2CARD PAYMO; ENERGOTRANSBANK; LR*hcexpress.ru; QIWI_6; YooMoney; CONTACT; VB24; CARD2CARD PSBANK.RU; LR*www.homecredit.ru; Cardmob; MKK TVOY KREDIT; HCFB; QIWI_2; e-zaem; Mig Kredit; Mobile Card; centrofinans.ru; glavfinans.ru_ Mir; MOBILECARD; RGS-BANK; WEBBANKIR; QIWI Wallet; CARD-SERVICE; Zaymigo; JoyMoney; SAMMIT_AFT_MIR; PAY2CARD; YM *DobroZaim; YUR KOMPANIYA 1 AFT; QIWI_5; MASTERCARD MONEYSEND; CARD2CARD IB; QIWI P2P; CARD2CARD ALFA_MOBILE; MIR MONEY TRANSFER DEB; LR*MigCredit; CREDITPLUS; LR*rencredit.ru; LR*max.credit; PAW*SMARTCREDIT; Dozarplati; Zaimy.RF; smsfinance; Promsvyazbank; PAW*CASH-U; Makro; CARD2CARD VK.COM; Tinkoff Bank P2P; CARD2CARD CARD2BPK; LR*vashinvestor.ru; rn-bank.ru; Mcard; QIWI_7; P2P PEREVEDI ONLINE; B2P*VOSTBANK; YM*YOOMONEY; PayPS; P2P MASTERCARD,Transactions
1,5310,Discount stores,IP SHARTSMAN T R; MPR; KHOZMARKET; IP ASHUROV; SHOPPING; MEGA; FEMILI; FIKS PRAJS CENTRALNYJ; VSE PO 30; MAGAZIN 1 ETAZH; SMESHNYE CENY; MAGAZIN ODEZHDY; KHOUM MARKET; FIKS CENA; IP KHALILOVA; OOO KHOUM MARKET,Shops
2,5046,Commercial Equipment N-Else,VENDING,Furnurure
3,6533,Payment Service Provider -,binance.com,Subscriptions
4,5965,Direct Marketing-Combinatio,NLSTAR,Shops
5,6010,POS Cash,PVN HALTURINA 7; PVN LENINA 111; 00887703; 00887706; 00887704,Transactions
6,5311,Department stores,"FIXPRICE 718; FIXPRICE 8099; LUMMA STORE.; MAGAZIN FLAMINGO; VSFA; FIXPRICE 2173; FIXPRICE 3190; FIXPRICE 4969; FIXPRICE 4188; FIXPRICE 8123; FIXPRICE 3985; FIXPRICE 2105; FIXPRICE 4990; FIXPRICE 4899; FIXPRICE 5517; FIXPRICE 5320; FIXPRICE 3752; FIXPRICE 3186; FIXPRICE 4771; FIXPRICE 2800; LYUBIMYJ MAGAZIN; TsVP Vostok; VDNKH; ONLINE TRADE; FIXPRICE 4271; FIXPRICE 5381; FIXPRICE 5954; FIXPRICE 3143; IP DOROZHKOV OI; FIXPRICE 631; MAGAZIN IRKUTSKIJ; FIXPRICE 544; FIXPRICE 3088; FIXPRICE 2465; FIXPRICE 3185; NOVEKS; FIXPRICE 4966; ONLAYNTREYD.RU; FIXPRICE 3317; KOPIKANC MALYJ PR.V.O; FIXPRICE 5801; FIXPRICE 4443; FIXPRICE 5748; FIXPRICE 4323; FIXPRICE 3577; FIXPRICE 8046; MAGAZIN VALENTINA; FIXPRICE 4737; AKADEMIYA SHKOLY; FIXPRICE 3748; FIXPRICE 2693; IP ARLAUSKAS; FIXPRICE 4104; SOFI1; FIXPRICE 705; FIXPRICE 4904; FIXPRICE 2539; FIXPRICE 5791; FIXPRICE 8148; FIXPRICE 839; FIXPRICE 3308; FIXPRICE 569; SIPAY ELEKTRONIK PARA; FIXPRICE 3579; FIXPRICE 4808; FIXPRICE 5357; FIXPRICE 4658; FIXPRICE 5124; FIXPRICE 5959; FIXPRICE; FIXPRICE 3816; FIXPRICE 5816; ONLINETRADE.RU; SHOP N 2 ""SVITANAK""; STROJ-S; FIXPRICE 4402; FIXPRICE 521; FIXPRICE 4753; FIXPRICE 3656; FIXPRICE 5431; FIXPRICE 4782; FIX PRICE ABAKAN; FIXPRICE 2838; FIXPRICE 3280; FIXPRICE 5066; FIXPRICE 3919; FIXPRICE 5181; FIXPRICE 853; FIXPRICE 4223; FIXPRICE 4534; FIXPRICE 8004; FIXPRICE 5600; Magazin ""Sokol""; eBay O*15-07529-92819; FIXPRICE 3921; FIXPRICE 3141; VESELYJ FEJERVERK; MYASNAYA LAVKA; FIXPRICE 2661; FIXPRICE 5364; FIXPRICE 5664; FIXPRICE 2366; FIXPRICE 4758; KLUBNAYA; FIXPRICE 2288; FIXPRICE 3339; FIXPRICE 4995; FIXPRICE 4707; FIXPRICE 4718; FIXPRICE 5834; FIXPRICE 5062; FIXPRICE 3016; MAKAROV; POLIMERSNAB AVTOZ; FIXPRICE 4237; FIXPRICE 816; FIXPRICE 3713; FIXPRICE 2743; FIXPRICE 4045; FIXPRICE 792; MAGAZIN ULYBKA; BAR ATLANT PLYUS; FIXPRICE 3471; 1000 MELOCHEJ; FIXPRICE 3785; IP NOVIKOV S. A.; FIXPRICE 2435; FIXPRICE 3512; FIXPRICE 739; FIXPRICE 2748; FIXPRICE 4191; FIXPRICE 5665; PRODUKTY; MAGAZIN POSTELKA; CVETY-SALYUTY.; FIXPRICE 2533; FIXPRICE 5646; FIXPRICE 5231; FIXPRICE 953; FIXPRICE 3132; FIXPRICE 4127; FIXPRICE 8112; FIXPRICE 5220; FIXPRICE 2289; CENTR SADOVODA; OnePrice; FIXPRICE 5805; FIXPRICE 3077; FIXPRICE 5630; ZOLUSHKA; FIXPRICE 3327; FIXPRICE 3613; FIXPRICE 3030; FIXPRICE 722; FIXPRICE 2402; OKHOTAKTIV; FIXPRICE 2931; FIXPRICE 4983; FIXPRICE 3257; FIXPRICE 5493; FIXPRICE 5339; FIXPRICE 5187; FIXPRICE 3377; FIXPRICE 2723; IP GURBANOV Z.T.; FIXPRICE 3134; FIXPRICE 2005; RYBA PILA; FIXPRICE 3626; FIXPRICE 2899; FIXPRICE 5576; FIXPRICE 3075; FIXPRICE 2576; FIXPRICE 5529; OOO NADEZHDA; FIXPRICE 3292; FIXPRICE 3467; FIXPRICE 5454; FIXPRICE 3453; FIXPRICE 5542; FIXPRICE 5460; KHOUM LEND; FIXPRICE 3677; ozon.ru; FIXPRICE 4898; ALYONKA; FIXPRICE 780; FIXPRICE 969; FIXPRICE 5758; FIXPRICE 4201; FIXPRICE 4803; FIXPRICE 3432; FIXPRICE 3008; FIXPRICE 2746; MAGAZIN KASHTAK; FIXPRICE 4245; FIXPRICE 4204; IP ALIEV GT; FIXPRICE 794; IP LUKYANCHENKO N.D; FIXPRICE 5226; FIXPRICE 4550; HOME COOK; FIXPRICE 2084; FIXPRICE 8126; FIXPRICE 742; FIXPRICE 2517; FIXPRICE 8037; FIXPRICE 3995; FIXPRICE 2047; PERVYJ MAGAZIN; FIXPRICE 3061; FIXPRICE 594; FIXPRICE 4124; FIXPRICE 2008; FIXPRICE 4700; FIXPRICE 4143; FIXPRICE 2322; FIXPRICE 608; FIXPRICE 2040; FIXPRICE 941; FIX PRICE IP BULAKH E.; FIXPRICE 2951; DZHEM-KAFE; FIXPRICE 696; FIXPRICE 2440; CVETNOJ CENTRAL MARKET; FIXPRICE 4869; MILYY DOM; FIXPRICE 886; FIXPRICE 2704; FIXPRICE 2286; FIXPRICE 5697; FIXPRICE 964; FIXPRICE 4847; FIXPRICE 2544; FIXPRICE 2878",Shops
7,5992,Florists,"CVETY GOLLANDII; SP LEDI ROUZ; TSVETY NA BELORUSSKOM; CVETY OT NATALI; CVETY V POLCENY; TSVET TORG; ROYAL-FLOWER.RU; CVETY ARTFLORA; CVET-BAZA.RF; SALON MARGARITKA; MAGAZIN CVETOV; SHATO DE FLER; Territoriya cvetov; BAZA CVETOV 24; BUTON; Sandy; MIR TSVETOV; ""CVETOCHNYJ MIR"" SHOP; IP Bezrukova M. S.; ORKHIDEYA; TSVETY ROZOVYY MIR; TSVETY; floradelivery; IP ALESHKEVICH L N; LESOGOR A.V.; SALON FLOWER; FRESH; IP Zolotuhin A.A.; Tsvety 24; EVO PR BUKETEKB; IP BALYKOVA P.V. SMT; TSVETY GOLLANDII; MEGAFLOWERS; WWW.ROZAVAM.RU; TSVETLANDIYA; CVETY; CVETORIYA; IP KHALAFOVA G.A.K. 2; SALON TSVETOV ERICA; MARNEL; SP PR LIMBO; PLANTA SHOP; CVETOCHNIY MARKET MAG; TSENTR TSVETOV; IP EVSIKOVA M.G; BEAUTY; FLORENTSIYA; EVO CAT FLOWERS; ROMASHKA; IP CHE Y.K.; IP SVETLAKOVA; M-N BUKET-BUTIK; DON PION; MAGAZIN TSVETY OT VENE; QUEEN FLOWERS; FLORAOPT; OAZIS FLER KHAB.6; ZHIVYE TSVETY; DARIA; LERMONTOVSKY PR-T(2); CK LETO; KLUMBA; DOM ZVETOV; KOROLEVA ROZ; IP PETROVA T.A; SP CVETY; STUDIYA CVETOV ODUVAN; FLORA KHIMKI; CHEGODAEV P A; EVO CVETY TUT; GRIN PARK; IP Nikolashin T.A; FLORA DELIVERI; CHATALYANAA12; CVETY DLYA VAS; CVETUSHHIJ SAD SEKCIYA; RAIYSKIIY UGOLOK; IP NIKITINA S.I.; IP SHULEKINA O.N.; Cvetochnyi Roza Alaya; FLEUR DELYS; AMARANT; CVETOMANIYA; flowwow; CVETTORG; IP NAGUMANOVA ER; FASHION FLOWERS; CVETOCHNAYA VAZA; MORE CVETOV; IP FROLOVA E.V.; STSM BELAYA ROZA; CVETY 4; IP SARGSYAN Z.G.; MAGIYA CVETOV; IP MUSIKHIN; SVOYA ROZA; POSTAVSHCHIK TSVETOV; s-flowers; CVETY SHARY; EVO RED FLOWERS; BELLE FLER; RASCVET; OOO 5-Jj EhLEMENT; Blumenstreet; IP KUDROV A.I.; MONEY ROSES; LANDYSH; Potseluy Flower; MNEBUKET CHITA; MIR CVETOV; EVO CHERNYSHOVA T.V.; SUNNY FLOWERS; YM*dakotaflora",Hobbies
8,7379,Computer Main/Repair Servic,HELPHELIX.NET; SDDHELPONE; GEEKHELP.CLUB,HardwareAndSoftware
9,5940,Bicycle Shops-sales & Servi,IP BAKHTIYAROV M.I.; MAGAZIN VELOTEKHNOMIR; BODY-PIT; PUNKT PROKATA,Hobbies
